C90802 $25 $41         AND $41 [000041] = $FFFF        A:2884 X:353B Y:0002 S:036A D:0000 DB:7E P:05 V:19  H:328
C90804 $9D $01 $00     STA $0001,X [7E353C] = $2884    A:2884 X:353B Y:0002 S:036A D:0000 DB:7E P:05 V:19  H:335
C90807 $A3 $09         LDA $09,S [000373] = $0A66      A:2884 X:353B Y:0002 S:036A D:0000 DB:7E P:05 V:20  H:5  
C90809 $18             CLC                             A:0A66 X:353B Y:0002 S:036A D:0000 DB:7E P:05 V:20  H:14 
C9080A $69 $06 $00     ADC #$0006                      A:0A66 X:353B Y:0002 S:036A D:0000 DB:7E P:04 V:20  H:17 
C9080D $83 $09         STA $09,S [000373] = $0A66      A:0A6C X:353B Y:0002 S:036A D:0000 DB:7E P:04 V:20  H:21 
C9080F $7A             PLY                             A:0A6C X:353B Y:0002 S:036A D:0000 DB:7E P:04 V:20  H:30 
C90810 $FA             PLX                             A:0A6C X:353B Y:7FFE S:036C D:0000 DB:7E P:04 V:20  H:38 
C90811 $AB             PLB                             A:0A6C X:0000 Y:7FFE S:036E D:0000 DB:7E P:06 V:20  H:47 
C90812 $68             PLA                             A:0A6C X:0000 Y:7FFE S:036F D:0000 DB:7E P:04 V:20  H:53 
C90813 $28             PLP                             A:FFFF X:0000 Y:7FFE S:0371 D:0000 DB:7E P:84 V:20  H:62 
C90814 $6B             RTL                             A:FFFF X:0000 Y:7FFE S:0372 D:0000 DB:7E P:85 V:20  H:68 
C60A6D $AC $A5 $DA     LDY $DAA5 [7EDAA5] = $0000      A:FFFF X:0000 Y:7FFE S:0375 D:0000 DB:7E P:85 V:20  H:79 
C60A70 $B9 $E5 $C5     LDA $C5E5,Y [7EC5E5] = $0848    A:FFFF X:0000 Y:0000 S:0375 D:0000 DB:7E P:07 V:20  H:87 
C60A73 $4A             LSR                             A:0848 X:0000 Y:0000 S:0375 D:0000 DB:7E P:05 V:20  H:97 
C60A74 $4A             LSR                             A:0424 X:0000 Y:0000 S:0375 D:0000 DB:7E P:04 V:20  H:100
C60A75 $4A             LSR                             A:0212 X:0000 Y:0000 S:0375 D:0000 DB:7E P:04 V:20  H:103
C60A76 $38             SEC                             A:0109 X:0000 Y:0000 S:0375 D:0000 DB:7E P:04 V:20  H:106
C60A77 $ED $0F $9A     SBC $9A0F [7E9A0F] = $0100      A:0109 X:0000 Y:0000 S:0375 D:0000 DB:7E P:05 V:20  H:109
C60A7A $8D $09 $9A     STA $9A09 [7E9A09] = $0158      A:0009 X:0000 Y:0000 S:0375 D:0000 DB:7E P:05 V:20  H:118
C60A7D $B9 $25 $C6     LDA $C625,Y [7EC625] = $0AA0    A:0009 X:0000 Y:0000 S:0375 D:0000 DB:7E P:05 V:20  H:126
C60A80 $4A             LSR                             A:0AA0 X:0000 Y:0000 S:0375 D:0000 DB:7E P:05 V:20  H:146
C60A81 $4A             LSR                             A:0550 X:0000 Y:0000 S:0375 D:0000 DB:7E P:04 V:20  H:149
C60A82 $4A             LSR                             A:02A8 X:0000 Y:0000 S:0375 D:0000 DB:7E P:04 V:20  H:152
C60A83 $38             SEC                             A:0154 X:0000 Y:0000 S:0375 D:0000 DB:7E P:04 V:20  H:155
C60A84 $ED $17 $9A     SBC $9A17 [7E9A17] = $0100      A:0154 X:0000 Y:0000 S:0375 D:0000 DB:7E P:05 V:20  H:158
C60A87 $1A             INC                             A:0054 X:0000 Y:0000 S:0375 D:0000 DB:7E P:05 V:20  H:167
C60A88 $1A             INC                             A:0055 X:0000 Y:0000 S:0375 D:0000 DB:7E P:05 V:20  H:170
C60A89 $8D $0B $9A     STA $9A0B [7E9A0B] = $01B5      A:0056 X:0000 Y:0000 S:0375 D:0000 DB:7E P:05 V:20  H:173
C60A8C $B9 $A5 $C7     LDA $C7A5,Y [7EC7A5] = $0000    A:0056 X:0000 Y:0000 S:0375 D:0000 DB:7E P:05 V:20  H:181
C60A8F $4A             LSR                             A:0000 X:0000 Y:0000 S:0375 D:0000 DB:7E P:07 V:20  H:191
C60A90 $8D $0D $9A     STA $9A0D [7E9A0D] = $0000      A:0000 X:0000 Y:0000 S:0375 D:0000 DB:7E P:06 V:20  H:194
