C90790 $5A             PHY                             A:0000 X:0004 Y:4F8E S:036C D:0000 DB:7E P:07 V:165 H:266
C90791 $A3 $0A         LDA $0A,S [000374] = $C602      A:0000 X:0004 Y:4F8E S:036A D:0000 DB:7E P:07 V:165 H:273
C90793 $48             PHA                             A:C602 X:0004 Y:4F8E S:036A D:0000 DB:7E P:85 V:165 H:298
C90794 $AB             PLB                             A:C602 X:0004 Y:4F8E S:0368 D:0000 DB:7E P:85 V:165 H:305
C90795 $AB             PLB                             A:C602 X:0004 Y:4F8E S:0369 D:0000 DB:02 P:05 V:165 H:312
C90796 $A0 $04 $00     LDY #$0004                      A:C602 X:0004 Y:4F8E S:036A D:0000 DB:C6 P:85 V:165 H:318
C90799 $B3 $09         LDA ($09,S),Y [C602D9] = $0008  A:C602 X:0004 Y:0004 S:036A D:0000 DB:C6 P:05 V:165 H:323
C9079B $85 $40         STA $40 [000040] = $0004        A:0008 X:0004 Y:0004 S:036A D:0000 DB:C6 P:05 V:165 H:335
C9079D $C8             INY                             A:0008 X:0004 Y:0004 S:036A D:0000 DB:C6 P:05 V:166 H:2  
C9079E $B3 $09         LDA ($09,S),Y [C602DA] = $0000  A:0008 X:0004 Y:0005 S:036A D:0000 DB:C6 P:05 V:166 H:5  
C907A0 $85 $41         STA $41 [000041] = $0000        A:0000 X:0004 Y:0005 S:036A D:0000 DB:C6 P:07 V:166 H:18 
C907A2 $A0 $01 $00     LDY #$0001                      A:0000 X:0004 Y:0005 S:036A D:0000 DB:C6 P:07 V:166 H:25 
C907A5 $B3 $09         LDA ($09,S),Y [C602D6] = $99C5  A:0000 X:0004 Y:0001 S:036A D:0000 DB:C6 P:05 V:166 H:29 
C907A7 $AA             TAX                             A:99C5 X:0004 Y:0001 S:036A D:0000 DB:C6 P:85 V:166 H:42 
C907A8 $C8             INY                             A:99C5 X:99C5 Y:0001 S:036A D:0000 DB:C6 P:85 V:166 H:45 
C907A9 $B3 $09         LDA ($09,S),Y [C602D7] = $7E99  A:99C5 X:99C5 Y:0002 S:036A D:0000 DB:C6 P:05 V:166 H:48 
C907AB $48             PHA                             A:7E99 X:99C5 Y:0002 S:036A D:0000 DB:C6 P:05 V:166 H:61 
C907AC $AB             PLB                             A:7E99 X:99C5 Y:0002 S:0368 D:0000 DB:C6 P:05 V:166 H:68 
C907AD $AB             PLB                             A:7E99 X:99C5 Y:0002 S:0369 D:0000 DB:99 P:85 V:166 H:75 
C907AE $BD $00 $00     LDA $0000,X [7E99C5] = $150C    A:7E99 X:99C5 Y:0002 S:036A D:0000 DB:7E P:05 V:166 H:81 
C907B1 $05 $40         ORA $40 [000040] = $0008        A:150C X:99C5 Y:0002 S:036A D:0000 DB:7E P:05 V:166 H:91 
C907B3 $9D $00 $00     STA $0000,X [7E99C5] = $150C    A:150C X:99C5 Y:0002 S:036A D:0000 DB:7E P:05 V:166 H:98 
C907B6 $BD $01 $00     LDA $0001,X [7E99C6] = $0015    A:150C X:99C5 Y:0002 S:036A D:0000 DB:7E P:05 V:166 H:108
C907B9 $05 $41         ORA $41 [000041] = $0000        A:0015 X:99C5 Y:0002 S:036A D:0000 DB:7E P:05 V:166 H:118
C907BB $9D $01 $00     STA $0001,X [7E99C6] = $0015    A:0015 X:99C5 Y:0002 S:036A D:0000 DB:7E P:05 V:166 H:125
C907BE $A3 $09         LDA $09,S [000373] = $02D5      A:0015 X:99C5 Y:0002 S:036A D:0000 DB:7E P:05 V:166 H:145
C907C0 $18             CLC                             A:02D5 X:99C5 Y:0002 S:036A D:0000 DB:7E P:05 V:166 H:154
C907C1 $69 $06 $00     ADC #$0006                      A:02D5 X:99C5 Y:0002 S:036A D:0000 DB:7E P:04 V:166 H:157
C907C4 $83 $09         STA $09,S [000373] = $02D5      A:02DB X:99C5 Y:0002 S:036A D:0000 DB:7E P:04 V:166 H:161
C907C6 $7A             PLY                             A:02DB X:99C5 Y:0002 S:036A D:0000 DB:7E P:04 V:166 H:170
C907C7 $FA             PLX                             A:02DB X:99C5 Y:4F8E S:036C D:0000 DB:7E P:04 V:166 H:178
C907C8 $AB             PLB                             A:02DB X:0004 Y:4F8E S:036E D:0000 DB:7E P:04 V:166 H:187
C907C9 $68             PLA                             A:02DB X:0004 Y:4F8E S:036F D:0000 DB:7E P:04 V:166 H:193
C907CA $28             PLP                             A:0000 X:0004 Y:4F8E S:0371 D:0000 DB:7E P:06 V:166 H:202
C907CB $6B             RTL                             A:0000 X:0004 Y:4F8E S:0372 D:0000 DB:7E P:07 V:166 H:208
C602DC $22 $89 $07 $C9 JSL $C90789                     A:0000 X:0004 Y:4F8E S:0375 D:0000 DB:7E P:07 V:166 H:219
C90789 $08             PHP                             A:0000 X:0004 Y:4F8E S:0372 D:0000 DB:7E P:07 V:166 H:232
C9078A $78             SEI                             A:0000 X:0004 Y:4F8E S:0371 D:0000 DB:7E P:07 V:166 H:237
C9078B $C2 $30         REP #$30                        A:0000 X:0004 Y:4F8E S:0371 D:0000 DB:7E P:07 V:166 H:240
C9078D $48             PHA                             A:0000 X:0004 Y:4F8E S:0371 D:0000 DB:7E P:07 V:166 H:245
C9078E $8B             PHB                             A:0000 X:0004 Y:4F8E S:036F D:0000 DB:7E P:07 V:166 H:252
C9078F $DA             PHX                             A:0000 X:0004 Y:4F8E S:036E D:0000 DB:7E P:07 V:166 H:257
C90790 $5A             PHY                             A:0000 X:0004 Y:4F8E S:036C D:0000 DB:7E P:07 V:166 H:264
C90791 $A3 $0A         LDA $0A,S [000374] = $C602      A:0000 X:0004 Y:4F8E S:036A D:0000 DB:7E P:07 V:166 H:271
C90793 $48             PHA                             A:C602 X:0004 Y:4F8E S:036A D:0000 DB:7E P:85 V:166 H:295
C90794 $AB             PLB                             A:C602 X:0004 Y:4F8E S:0368 D:0000 DB:7E P:85 V:166 H:302
C90795 $AB             PLB                             A:C602 X:0004 Y:4F8E S:0369 D:0000 DB:02 P:05 V:166 H:309
C90796 $A0 $04 $00     LDY #$0004                      A:C602 X:0004 Y:4F8E S:036A D:0000 DB:C6 P:85 V:166 H:315
C90799 $B3 $09         LDA ($09,S),Y [C602E3] = $0001  A:C602 X:0004 Y:0004 S:036A D:0000 DB:C6 P:05 V:166 H:320
C9079B $85 $40         STA $40 [000040] = $0008        A:0001 X:0004 Y:0004 S:036A D:0000 DB:C6 P:05 V:166 H:332
C9079D $C8             INY                             A:0001 X:0004 Y:0004 S:036A D:0000 DB:C6 P:05 V:166 H:339
C9079E $B3 $09         LDA ($09,S),Y [C602E4] = $0000  A:0001 X:0004 Y:0005 S:036A D:0000 DB:C6 P:05 V:167 H:2  
C907A0 $85 $41         STA $41 [000041] = $0000        A:0000 X:0004 Y:0005 S:036A D:0000 DB:C6 P:07 V:167 H:15 
C907A2 $A0 $01 $00     LDY #$0001                      A:0000 X:0004 Y:0005 S:036A D:0000 DB:C6 P:07 V:167 H:22 
C907A5 $B3 $09         LDA ($09,S),Y [C602E0] = $99C6  A:0000 X:0004 Y:0001 S:036A D:0000 DB:C6 P:05 V:167 H:26 
C907A7 $AA             TAX                             A:99C6 X:0004 Y:0001 S:036A D:0000 DB:C6 P:85 V:167 H:39 
C907A8 $C8             INY                             A:99C6 X:99C6 Y:0001 S:036A D:0000 DB:C6 P:85 V:167 H:42 
C907A9 $B3 $09         LDA ($09,S),Y [C602E1] = $7E99  A:99C6 X:99C6 Y:0002 S:036A D:0000 DB:C6 P:05 V:167 H:45 
C907AB $48             PHA                             A:7E99 X:99C6 Y:0002 S:036A D:0000 DB:C6 P:05 V:167 H:58 
C907AC $AB             PLB                             A:7E99 X:99C6 Y:0002 S:0368 D:0000 DB:C6 P:05 V:167 H:65 
C907AD $AB             PLB                             A:7E99 X:99C6 Y:0002 S:0369 D:0000 DB:99 P:85 V:167 H:72 
C907AE $BD $00 $00     LDA $0000,X [7E99C6] = $0015    A:7E99 X:99C6 Y:0002 S:036A D:0000 DB:7E P:05 V:167 H:78 
C907B1 $05 $40         ORA $40 [000040] = $0001        A:0015 X:99C6 Y:0002 S:036A D:0000 DB:7E P:05 V:167 H:88 
C907B3 $9D $00 $00     STA $0000,X [7E99C6] = $0015    A:0015 X:99C6 Y:0002 S:036A D:0000 DB:7E P:05 V:167 H:95 
C907B6 $BD $01 $00     LDA $0001,X [7E99C7] = $0000    A:0015 X:99C6 Y:0002 S:036A D:0000 DB:7E P:05 V:167 H:105
C907B9 $05 $41         ORA $41 [000041] = $0000        A:0000 X:99C6 Y:0002 S:036A D:0000 DB:7E P:07 V:167 H:115
C907BB $9D $01 $00     STA $0001,X [7E99C7] = $0000    A:0000 X:99C6 Y:0002 S:036A D:0000 DB:7E P:07 V:167 H:122
C907BE $A3 $09         LDA $09,S [000373] = $02DF      A:0000 X:99C6 Y:0002 S:036A D:0000 DB:7E P:07 V:167 H:132
C907C0 $18             CLC                             A:02DF X:99C6 Y:0002 S:036A D:0000 DB:7E P:05 V:167 H:151
C907C1 $69 $06 $00     ADC #$0006                      A:02DF X:99C6 Y:0002 S:036A D:0000 DB:7E P:04 V:167 H:154
C907C4 $83 $09         STA $09,S [000373] = $02DF      A:02E5 X:99C6 Y:0002 S:036A D:0000 DB:7E P:04 V:167 H:158
C907C6 $7A             PLY                             A:02E5 X:99C6 Y:0002 S:036A D:0000 DB:7E P:04 V:167 H:167
C907C7 $FA             PLX                             A:02E5 X:99C6 Y:4F8E S:036C D:0000 DB:7E P:04 V:167 H:175
C907C8 $AB             PLB                             A:02E5 X:0004 Y:4F8E S:036E D:0000 DB:7E P:04 V:167 H:184
C907C9 $68             PLA                             A:02E5 X:0004 Y:4F8E S:036F D:0000 DB:7E P:04 V:167 H:190
C907CA $28             PLP                             A:0000 X:0004 Y:4F8E S:0371 D:0000 DB:7E P:06 V:167 H:199
C907CB $6B             RTL                             A:0000 X:0004 Y:4F8E S:0372 D:0000 DB:7E P:07 V:167 H:205
C602E6 $22 $CC $07 $C9 JSL $C907CC                     A:0000 X:0004 Y:4F8E S:0375 D:0000 DB:7E P:07 V:167 H:216
C907CC $08             PHP                             A:0000 X:0004 Y:4F8E S:0372 D:0000 DB:7E P:07 V:167 H:229
C907CD $78             SEI                             A:0000 X:0004 Y:4F8E S:0371 D:0000 DB:7E P:07 V:167 H:234
C907CE $C2 $30         REP #$30                        A:0000 X:0004 Y:4F8E S:0371 D:0000 DB:7E P:07 V:167 H:237
C907D0 $48             PHA                             A:0000 X:0004 Y:4F8E S:0371 D:0000 DB:7E P:07 V:167 H:242
C907D1 $8B             PHB                             A:0000 X:0004 Y:4F8E S:036F D:0000 DB:7E P:07 V:167 H:249
C907D2 $DA             PHX                             A:0000 X:0004 Y:4F8E S:036E D:0000 DB:7E P:07 V:167 H:254
C907D3 $5A             PHY                             A:0000 X:0004 Y:4F8E S:036C D:0000 DB:7E P:07 V:167 H:261
C907D4 $A3 $0A         LDA $0A,S [000374] = $C602      A:0000 X:0004 Y:4F8E S:036A D:0000 DB:7E P:07 V:167 H:268
C907D6 $48             PHA                             A:C602 X:0004 Y:4F8E S:036A D:0000 DB:7E P:85 V:167 H:317
C907D7 $AB             PLB                             A:C602 X:0004 Y:4F8E S:0368 D:0000 DB:7E P:85 V:167 H:323
C907D8 $AB             PLB                             A:C602 X:0004 Y:4F8E S:0369 D:0000 DB:02 P:05 V:167 H:329
C907D9 $A0 $04 $00     LDY #$0004                      A:C602 X:0004 Y:4F8E S:036A D:0000 DB:C6 P:85 V:167 H:336
C907DC $B3 $09         LDA ($09,S),Y [C602ED] = $0010  A:C602 X:0004 Y:0004 S:036A D:0000 DB:C6 P:05 V:168 H:0  
C907DE $49 $FF $FF     EOR #$FFFF                      A:0010 X:0004 Y:0004 S:036A D:0000 DB:C6 P:05 V:168 H:13 
C907E1 $85 $40         STA $40 [000040] = $0001        A:FFEF X:0004 Y:0004 S:036A D:0000 DB:C6 P:85 V:168 H:18 
C907E3 $C8             INY                             A:FFEF X:0004 Y:0004 S:036A D:0000 DB:C6 P:85 V:168 H:25 
C907E4 $B3 $09         LDA ($09,S),Y [C602EE] = $0000  A:FFEF X:0004 Y:0005 S:036A D:0000 DB:C6 P:05 V:168 H:28 
C907E6 $49 $FF $FF     EOR #$FFFF                      A:0000 X:0004 Y:0005 S:036A D:0000 DB:C6 P:07 V:168 H:41 
C907E9 $85 $41         STA $41 [000041] = $00FF        A:FFFF X:0004 Y:0005 S:036A D:0000 DB:C6 P:85 V:168 H:45 
C907EB $A0 $01 $00     LDY #$0001                      A:FFFF X:0004 Y:0005 S:036A D:0000 DB:C6 P:85 V:168 H:52 
C907EE $B3 $09         LDA ($09,S),Y [C602EA] = $99C5  A:FFFF X:0004 Y:0001 S:036A D:0000 DB:C6 P:05 V:168 H:57 
C907F0 $AA             TAX                             A:99C5 X:0004 Y:0001 S:036A D:0000 DB:C6 P:85 V:168 H:70 
C907F1 $C8             INY                             A:99C5 X:99C5 Y:0001 S:036A D:0000 DB:C6 P:85 V:168 H:73 
C907F2 $B3 $09         LDA ($09,S),Y [C602EB] = $7E99  A:99C5 X:99C5 Y:0002 S:036A D:0000 DB:C6 P:05 V:168 H:76 
C907F4 $48             PHA                             A:7E99 X:99C5 Y:0002 S:036A D:0000 DB:C6 P:05 V:168 H:89 
C907F5 $AB             PLB                             A:7E99 X:99C5 Y:0002 S:0368 D:0000 DB:C6 P:05 V:168 H:96 
C907F6 $AB             PLB                             A:7E99 X:99C5 Y:0002 S:0369 D:0000 DB:99 P:85 V:168 H:102
C907F7 $BD $00 $00     LDA $0000,X [7E99C5] = $150C    A:7E99 X:99C5 Y:0002 S:036A D:0000 DB:7E P:05 V:168 H:109
C907FA $25 $40         AND $40 [000040] = $FFEF        A:150C X:99C5 Y:0002 S:036A D:0000 DB:7E P:05 V:168 H:119
C907FC $9D $00 $00     STA $0000,X [7E99C5] = $150C    A:150C X:99C5 Y:0002 S:036A D:0000 DB:7E P:05 V:168 H:126
C907FF $BD $01 $00     LDA $0001,X [7E99C6] = $0015    A:150C X:99C5 Y:0002 S:036A D:0000 DB:7E P:05 V:168 H:146
C90802 $25 $41         AND $41 [000041] = $FFFF        A:0015 X:99C5 Y:0002 S:036A D:0000 DB:7E P:05 V:168 H:156
C90804 $9D $01 $00     STA $0001,X [7E99C6] = $0015    A:0015 X:99C5 Y:0002 S:036A D:0000 DB:7E P:05 V:168 H:163
C90807 $A3 $09         LDA $09,S [000373] = $02E9      A:0015 X:99C5 Y:0002 S:036A D:0000 DB:7E P:05 V:168 H:173
C90809 $18             CLC                             A:02E9 X:99C5 Y:0002 S:036A D:0000 DB:7E P:05 V:168 H:181
C9080A $69 $06 $00     ADC #$0006                      A:02E9 X:99C5 Y:0002 S:036A D:0000 DB:7E P:04 V:168 H:184
C9080D $83 $09         STA $09,S [000373] = $02E9      A:02EF X:99C5 Y:0002 S:036A D:0000 DB:7E P:04 V:168 H:189
C9080F $7A             PLY                             A:02EF X:99C5 Y:0002 S:036A D:0000 DB:7E P:04 V:168 H:197
C90810 $FA             PLX                             A:02EF X:99C5 Y:4F8E S:036C D:0000 DB:7E P:04 V:168 H:206
C90811 $AB             PLB                             A:02EF X:0004 Y:4F8E S:036E D:0000 DB:7E P:04 V:168 H:214
C90812 $68             PLA                             A:02EF X:0004 Y:4F8E S:036F D:0000 DB:7E P:04 V:168 H:221
C90813 $28             PLP                             A:0000 X:0004 Y:4F8E S:0371 D:0000 DB:7E P:06 V:168 H:229
C90814 $6B             RTL                             A:0000 X:0004 Y:4F8E S:0372 D:0000 DB:7E P:07 V:168 H:236
C602F0 $22 $CC $07 $C9 JSL $C907CC                     A:0000 X:0004 Y:4F8E S:0375 D:0000 DB:7E P:07 V:168 H:246
C907CC $08             PHP                             A:0000 X:0004 Y:4F8E S:0372 D:0000 DB:7E P:07 V:168 H:260
C907CD $78             SEI                             A:0000 X:0004 Y:4F8E S:0371 D:0000 DB:7E P:07 V:168 H:265
C907CE $C2 $30         REP #$30                        A:0000 X:0004 Y:4F8E S:0371 D:0000 DB:7E P:07 V:168 H:268
C907D0 $48             PHA                             A:0000 X:0004 Y:4F8E S:0371 D:0000 DB:7E P:07 V:168 H:272
C907D1 $8B             PHB                             A:0000 X:0004 Y:4F8E S:036F D:0000 DB:7E P:07 V:168 H:321
C907D2 $DA             PHX                             A:0000 X:0004 Y:4F8E S:036E D:0000 DB:7E P:07 V:168 H:326
C907D3 $5A             PHY                             A:0000 X:0004 Y:4F8E S:036C D:0000 DB:7E P:07 V:168 H:332
C907D4 $A3 $0A         LDA $0A,S [000374] = $C602      A:0000 X:0004 Y:4F8E S:036A D:0000 DB:7E P:07 V:168 H:339
C907D6 $48             PHA                             A:C602 X:0004 Y:4F8E S:036A D:0000 DB:7E P:85 V:169 H:8  
C907D7 $AB             PLB                             A:C602 X:0004 Y:4F8E S:0368 D:0000 DB:7E P:85 V:169 H:15 
C907D8 $AB             PLB                             A:C602 X:0004 Y:4F8E S:0369 D:0000 DB:02 P:05 V:169 H:21 
C907D9 $A0 $04 $00     LDY #$0004                      A:C602 X:0004 Y:4F8E S:036A D:0000 DB:C6 P:85 V:169 H:28 
C907DC $B3 $09         LDA ($09,S),Y [C602F7] = $0020  A:C602 X:0004 Y:0004 S:036A D:0000 DB:C6 P:05 V:169 H:32 
C907DE $49 $FF $FF     EOR #$FFFF                      A:0020 X:0004 Y:0004 S:036A D:0000 DB:C6 P:05 V:169 H:45 
C907E1 $85 $40         STA $40 [000040] = $FFEF        A:FFDF X:0004 Y:0004 S:036A D:0000 DB:C6 P:85 V:169 H:50 
C907E3 $C8             INY                             A:FFDF X:0004 Y:0004 S:036A D:0000 DB:C6 P:85 V:169 H:57 
C907E4 $B3 $09         LDA ($09,S),Y [C602F8] = $0000  A:FFDF X:0004 Y:0005 S:036A D:0000 DB:C6 P:05 V:169 H:60 
C907E6 $49 $FF $FF     EOR #$FFFF                      A:0000 X:0004 Y:0005 S:036A D:0000 DB:C6 P:07 V:169 H:73 
C907E9 $85 $41         STA $41 [000041] = $FFFF        A:FFFF X:0004 Y:0005 S:036A D:0000 DB:C6 P:85 V:169 H:77 
C907EB $A0 $01 $00     LDY #$0001                      A:FFFF X:0004 Y:0005 S:036A D:0000 DB:C6 P:85 V:169 H:84 
C907EE $B3 $09         LDA ($09,S),Y [C602F4] = $99C5  A:FFFF X:0004 Y:0001 S:036A D:0000 DB:C6 P:05 V:169 H:89 
C907F0 $AA             TAX                             A:99C5 X:0004 Y:0001 S:036A D:0000 DB:C6 P:85 V:169 H:102
C907F1 $C8             INY                             A:99C5 X:99C5 Y:0001 S:036A D:0000 DB:C6 P:85 V:169 H:105
C907F2 $B3 $09         LDA ($09,S),Y [C602F5] = $7E99  A:99C5 X:99C5 Y:0002 S:036A D:0000 DB:C6 P:05 V:169 H:108
C907F4 $48             PHA                             A:7E99 X:99C5 Y:0002 S:036A D:0000 DB:C6 P:05 V:169 H:121
C907F5 $AB             PLB                             A:7E99 X:99C5 Y:0002 S:0368 D:0000 DB:C6 P:05 V:169 H:128
C907F6 $AB             PLB                             A:7E99 X:99C5 Y:0002 S:0369 D:0000 DB:99 P:85 V:169 H:144
C907F7 $BD $00 $00     LDA $0000,X [7E99C5] = $150C    A:7E99 X:99C5 Y:0002 S:036A D:0000 DB:7E P:05 V:169 H:151
C907FA $25 $40         AND $40 [000040] = $FFDF        A:150C X:99C5 Y:0002 S:036A D:0000 DB:7E P:05 V:169 H:161
C907FC $9D $00 $00     STA $0000,X [7E99C5] = $150C    A:150C X:99C5 Y:0002 S:036A D:0000 DB:7E P:05 V:169 H:168
C907FF $BD $01 $00     LDA $0001,X [7E99C6] = $0015    A:150C X:99C5 Y:0002 S:036A D:0000 DB:7E P:05 V:169 H:178
C90802 $25 $41         AND $41 [000041] = $FFFF        A:0015 X:99C5 Y:0002 S:036A D:0000 DB:7E P:05 V:169 H:188
C90804 $9D $01 $00     STA $0001,X [7E99C6] = $0015    A:0015 X:99C5 Y:0002 S:036A D:0000 DB:7E P:05 V:169 H:195
C90807 $A3 $09         LDA $09,S [000373] = $02F3      A:0015 X:99C5 Y:0002 S:036A D:0000 DB:7E P:05 V:169 H:205
C90809 $18             CLC                             A:02F3 X:99C5 Y:0002 S:036A D:0000 DB:7E P:05 V:169 H:213
C9080A $69 $06 $00     ADC #$0006                      A:02F3 X:99C5 Y:0002 S:036A D:0000 DB:7E P:04 V:169 H:216
C9080D $83 $09         STA $09,S [000373] = $02F3      A:02F9 X:99C5 Y:0002 S:036A D:0000 DB:7E P:04 V:169 H:221
C9080F $7A             PLY                             A:02F9 X:99C5 Y:0002 S:036A D:0000 DB:7E P:04 V:169 H:229
C90810 $FA             PLX                             A:02F9 X:99C5 Y:4F8E S:036C D:0000 DB:7E P:04 V:169 H:238
C90811 $AB             PLB                             A:02F9 X:0004 Y:4F8E S:036E D:0000 DB:7E P:04 V:169 H:246
C90812 $68             PLA                             A:02F9 X:0004 Y:4F8E S:036F D:0000 DB:7E P:04 V:169 H:253
C90813 $28             PLP                             A:0000 X:0004 Y:4F8E S:0371 D:0000 DB:7E P:06 V:169 H:261
C90814 $6B             RTL                             A:0000 X:0004 Y:4F8E S:0372 D:0000 DB:7E P:07 V:169 H:268
C602FA $22 $CC $07 $C9 JSL $C907CC                     A:0000 X:0004 Y:4F8E S:0375 D:0000 DB:7E P:07 V:169 H:294
C907CC $08             PHP                             A:0000 X:0004 Y:4F8E S:0372 D:0000 DB:7E P:07 V:169 H:308
