C16EC8 $6D $B6 $E3     ADC $E3B6 [7FE3B6] = $00F8      A:FDE1 X:0008 Y:020C S:03F7 D:00C0 DB:7F P:NvmxdIzc V:61  H:210
C16ECB $9D $58 $E3     STA $E358,X [7FE360] = $FDE0    A:FED9 X:0008 Y:020C S:03F7 D:00C0 DB:7F P:NvmxdIzc V:61  H:219
C16ECE $20 $DC $8A     JSR $8ADC [C18ADC] = $18A6      A:FED9 X:0008 Y:020C S:03F7 D:00C0 DB:7F P:NvmxdIzc V:61  H:229
C18ADC $A6 $18         LDX $18 [0000D8] = $0008        A:FED9 X:0008 Y:020C S:03F5 D:00C0 DB:7F P:NvmxdIzc V:61  H:239
C18ADE $E0 $08 $00     CPX #$0008                      A:FED9 X:0008 Y:020C S:03F5 D:00C0 DB:7F P:nvmxdIzc V:61  H:247
C18AE1 $D0 $01         BNE $C18AE4                     A:FED9 X:0008 Y:020C S:03F5 D:00C0 DB:7F P:nvmxdIZC V:61  H:252
C18AE3 $60             RTS                             A:FED9 X:0008 Y:020C S:03F5 D:00C0 DB:7F P:nvmxdIZC V:61  H:255
C16ED1 $20 $9F $A6     JSR $A69F [C1A69F] = $18A6      A:FED9 X:0008 Y:020C S:03F7 D:00C0 DB:7F P:nvmxdIZC V:61  H:265
C1A69F $A6 $18         LDX $18 [0000D8] = $0008        A:FED9 X:0008 Y:020C S:03F5 D:00C0 DB:7F P:nvmxdIZC V:61  H:275
C1A6A1 $BD $4E $E3     LDA $E34E,X [7FE356] = $0000    A:FED9 X:0008 Y:020C S:03F5 D:00C0 DB:7F P:nvmxdIzC V:61  H:289
C1A6A4 $F0 $3C         BEQ $C1A6E2                     A:0000 X:0008 Y:020C S:03F5 D:00C0 DB:7F P:nvmxdIZC V:61  H:299
C1A6E2 $60             RTS                             A:0000 X:0008 Y:020C S:03F5 D:00C0 DB:7F P:nvmxdIZC V:61  H:304
C16ED4 $60             RTS                             A:0000 X:0008 Y:020C S:03F7 D:00C0 DB:7F P:nvmxdIZC V:61  H:314
C16D40 $20 $F7 $6D     JSR $6DF7 [C16DF7] = $A8BD      A:0000 X:0008 Y:020C S:03F9 D:00C0 DB:7F P:nvmxdIZC V:61  H:323
C16DF7 $BD $A8 $E3     LDA $E3A8,X [7FE3B0] = $0000    A:0000 X:0008 Y:020C S:03F7 D:00C0 DB:7F P:nvmxdIZC V:61  H:333
C16DFA $F0 $3B         BEQ $C16E37                     A:0000 X:0008 Y:020C S:03F7 D:00C0 DB:7F P:nvmxdIZC V:62  H:3  
