7E9897 $5C $00 $E1 $CA JMP $CAE100                     A:0000 X:0000 Y:FFFE S:0377 D:0000 DB:7E P:06 V:20  H:111
CAE100 $22 $A1 $DF $CB JSL $CBDFA1                     A:0000 X:0000 Y:FFFE S:0377 D:0000 DB:7E P:06 V:20  H:118
C0467E $AD $66 $8B     LDA $8B66 [7E8B66] = $00F6      A:30D9 X:0000 Y:0004 S:0369 D:0000 DB:7E P:05 V:21  H:108
C04681 $29 $FF $00     AND #$00FF                      A:00F6 X:0000 Y:0004 S:0369 D:0000 DB:7E P:05 V:21  H:117
C04684 $85 $32         STA $32 [000032] = $00F6        A:00F6 X:0000 Y:0004 S:0369 D:0000 DB:7E P:05 V:21  H:121
C04686 $AD $68 $8B     LDA $8B68 [7E8B68] = $0000      A:00F6 X:0000 Y:0004 S:0369 D:0000 DB:7E P:05 V:21  H:128
C04689 $9D $22 $8B     STA $8B22,X [7E8B22] = $0000    A:0000 X:0000 Y:0004 S:0369 D:0000 DB:7E P:07 V:21  H:147
C0468C $9E $92 $8A     STZ $8A92,X [7E8A92] = $000E    A:0000 X:0000 Y:0004 S:0369 D:0000 DB:7E P:07 V:21  H:157
C0468F $9E $A2 $8A     STZ $8AA2,X [7E8AA2] = $0000    A:0000 X:0000 Y:0004 S:0369 D:0000 DB:7E P:07 V:21  H:167
C04692 $A9 $01 $00     LDA #$0001                      A:0000 X:0000 Y:0004 S:0369 D:0000 DB:7E P:07 V:21  H:177
C04695 $9D $C2 $8A     STA $8AC2,X [7E8AC2] = $0001    A:0001 X:0000 Y:0004 S:0369 D:0000 DB:7E P:05 V:21  H:181
C04698 $9C $6A $8B     STZ $8B6A [7E8B6A] = $0006      A:0001 X:0000 Y:0004 S:0369 D:0000 DB:7E P:05 V:21  H:191
C0469B $A0 $03 $00     LDY #$0003                      A:0001 X:0000 Y:0004 S:0369 D:0000 DB:7E P:05 V:21  H:200
C0469E $B7 $30         LDA [$30],Y [F630DC] = $0106    A:0001 X:0000 Y:0003 S:0369 D:0000 DB:7E P:05 V:21  H:204
C046A0 $29 $FF $00     AND #$00FF                      A:0106 X:0000 Y:0003 S:0369 D:0000 DB:7E P:05 V:21  H:216
C046A3 $F0 $06         BEQ $C046AB                     A:0006 X:0000 Y:0003 S:0369 D:0000 DB:7E P:05 V:21  H:221
