C607AB $D0 $0C         BNE $C607B9                     A:FFFF X:0000 Y:0000 S:0375 D:0000 DB:7E P:05 V:257 H:272
C607B9 $AD $A3 $99     LDA $99A3 [7E99A3] = $FFFF      A:FFFF X:0000 Y:0000 S:0375 D:0000 DB:7E P:05 V:257 H:276
C607BC $C9 $FE $FF     CMP #$FFFE                      A:FFFF X:0000 Y:0000 S:0375 D:0000 DB:7E P:85 V:257 H:285
C607BF $D0 $0C         BNE $C607CD                     A:FFFF X:0000 Y:0000 S:0375 D:0000 DB:7E P:05 V:257 H:289
C607CD $AD $A1 $99     LDA $99A1 [7E99A1] = $FFFF      A:FFFF X:0000 Y:0000 S:0375 D:0000 DB:7E P:05 V:257 H:294
C607D0 $C9 $FE $FF     CMP #$FFFE                      A:FFFF X:0000 Y:0000 S:0375 D:0000 DB:7E P:85 V:257 H:302
C607D3 $D0 $0C         BNE $C607E1                     A:FFFF X:0000 Y:0000 S:0375 D:0000 DB:7E P:05 V:257 H:307
C607E1 $AD $A5 $99     LDA $99A5 [7E99A5] = $FFFF      A:FFFF X:0000 Y:0000 S:0375 D:0000 DB:7E P:05 V:257 H:311
C607E4 $C9 $FE $FF     CMP #$FFFE                      A:FFFF X:0000 Y:0000 S:0375 D:0000 DB:7E P:85 V:257 H:320
C607E7 $D0 $0C         BNE $C607F5                     A:FFFF X:0000 Y:0000 S:0375 D:0000 DB:7E P:05 V:257 H:324
C607F5 $E8             INX                             A:FFFF X:0000 Y:0000 S:0375 D:0000 DB:7E P:05 V:257 H:328
C607F6 $E8             INX                             A:FFFF X:0001 Y:0000 S:0375 D:0000 DB:7E P:05 V:257 H:331
C607F7 $E0 $10 $00     CPX #$0010                      A:FFFF X:0002 Y:0000 S:0375 D:0000 DB:7E P:05 V:257 H:334
C607FA $90 $94         BCC $C60790                     A:FFFF X:0002 Y:0000 S:0375 D:0000 DB:7E P:84 V:257 H:338
C60790 $BF $E2 $E3 $7F LDA $7FE3E2,X [7FE3E4] = $0000  A:FFFF X:0002 Y:0000 S:0375 D:0000 DB:7E P:84 V:258 H:3  
C60794 $10 $5F         BPL $C607F5                     A:0000 X:0002 Y:0000 S:0375 D:0000 DB:7E P:06 V:258 H:13 
C607F5 $E8             INX                             A:0000 X:0002 Y:0000 S:0375 D:0000 DB:7E P:06 V:258 H:17 
C607F6 $E8             INX                             A:0000 X:0003 Y:0000 S:0375 D:0000 DB:7E P:04 V:258 H:20 
C607F7 $E0 $10 $00     CPX #$0010                      A:0000 X:0004 Y:0000 S:0375 D:0000 DB:7E P:04 V:258 H:23 
C607FA $90 $94         BCC $C60790                     A:0000 X:0004 Y:0000 S:0375 D:0000 DB:7E P:84 V:258 H:28 
C60790 $BF $E2 $E3 $7F LDA $7FE3E2,X [7FE3E6] = $0000  A:0000 X:0004 Y:0000 S:0375 D:0000 DB:7E P:84 V:258 H:32 
C60794 $10 $5F         BPL $C607F5                     A:0000 X:0004 Y:0000 S:0375 D:0000 DB:7E P:06 V:258 H:42 
C607F5 $E8             INX                             A:0000 X:0004 Y:0000 S:0375 D:0000 DB:7E P:06 V:258 H:47 
C607F6 $E8             INX                             A:0000 X:0005 Y:0000 S:0375 D:0000 DB:7E P:04 V:258 H:50 
C607F7 $E0 $10 $00     CPX #$0010                      A:0000 X:0006 Y:0000 S:0375 D:0000 DB:7E P:04 V:258 H:53 
C607FA $90 $94         BCC $C60790                     A:0000 X:0006 Y:0000 S:0375 D:0000 DB:7E P:84 V:258 H:57 
C60790 $BF $E2 $E3 $7F LDA $7FE3E2,X [7FE3E8] = $0000  A:0000 X:0006 Y:0000 S:0375 D:0000 DB:7E P:84 V:258 H:62 
C60794 $10 $5F         BPL $C607F5                     A:0000 X:0006 Y:0000 S:0375 D:0000 DB:7E P:06 V:258 H:72 
C607F5 $E8             INX                             A:0000 X:0006 Y:0000 S:0375 D:0000 DB:7E P:06 V:258 H:76 
C607F6 $E8             INX                             A:0000 X:0007 Y:0000 S:0375 D:0000 DB:7E P:04 V:258 H:79 
C607F7 $E0 $10 $00     CPX #$0010                      A:0000 X:0008 Y:0000 S:0375 D:0000 DB:7E P:04 V:258 H:82 
C607FA $90 $94         BCC $C60790                     A:0000 X:0008 Y:0000 S:0375 D:0000 DB:7E P:84 V:258 H:87 
C60790 $BF $E2 $E3 $7F LDA $7FE3E2,X [7FE3EA] = $0000  A:0000 X:0008 Y:0000 S:0375 D:0000 DB:7E P:84 V:258 H:91 
C60794 $10 $5F         BPL $C607F5                     A:0000 X:0008 Y:0000 S:0375 D:0000 DB:7E P:06 V:258 H:101
C607F5 $E8             INX                             A:0000 X:0008 Y:0000 S:0375 D:0000 DB:7E P:06 V:258 H:106
C607F6 $E8             INX                             A:0000 X:0009 Y:0000 S:0375 D:0000 DB:7E P:04 V:258 H:109
C607F7 $E0 $10 $00     CPX #$0010                      A:0000 X:000A Y:0000 S:0375 D:0000 DB:7E P:04 V:258 H:112
C607FA $90 $94         BCC $C60790                     A:0000 X:000A Y:0000 S:0375 D:0000 DB:7E P:84 V:258 H:116
C60790 $BF $E2 $E3 $7F LDA $7FE3E2,X [7FE3EC] = $0000  A:0000 X:000A Y:0000 S:0375 D:0000 DB:7E P:84 V:258 H:121
C60794 $10 $5F         BPL $C607F5                     A:0000 X:000A Y:0000 S:0375 D:0000 DB:7E P:06 V:258 H:131
C607F5 $E8             INX                             A:0000 X:000A Y:0000 S:0375 D:0000 DB:7E P:06 V:258 H:145
C607F6 $E8             INX                             A:0000 X:000B Y:0000 S:0375 D:0000 DB:7E P:04 V:258 H:148
C607F7 $E0 $10 $00     CPX #$0010                      A:0000 X:000C Y:0000 S:0375 D:0000 DB:7E P:04 V:258 H:151
C607FA $90 $94         BCC $C60790                     A:0000 X:000C Y:0000 S:0375 D:0000 DB:7E P:84 V:258 H:156
C60790 $BF $E2 $E3 $7F LDA $7FE3E2,X [7FE3EE] = $0000  A:0000 X:000C Y:0000 S:0375 D:0000 DB:7E P:84 V:258 H:160
C60794 $10 $5F         BPL $C607F5                     A:0000 X:000C Y:0000 S:0375 D:0000 DB:7E P:06 V:258 H:170
C607F5 $E8             INX                             A:0000 X:000C Y:0000 S:0375 D:0000 DB:7E P:06 V:258 H:175
C607F6 $E8             INX                             A:0000 X:000D Y:0000 S:0375 D:0000 DB:7E P:04 V:258 H:178
C607F7 $E0 $10 $00     CPX #$0010                      A:0000 X:000E Y:0000 S:0375 D:0000 DB:7E P:04 V:258 H:181
C607FA $90 $94         BCC $C60790                     A:0000 X:000E Y:0000 S:0375 D:0000 DB:7E P:84 V:258 H:185
C60790 $BF $E2 $E3 $7F LDA $7FE3E2,X [7FE3F0] = $0000  A:0000 X:000E Y:0000 S:0375 D:0000 DB:7E P:84 V:258 H:190
C60794 $10 $5F         BPL $C607F5                     A:0000 X:000E Y:0000 S:0375 D:0000 DB:7E P:06 V:258 H:200
C607F5 $E8             INX                             A:0000 X:000E Y:0000 S:0375 D:0000 DB:7E P:06 V:258 H:204
C607F6 $E8             INX                             A:0000 X:000F Y:0000 S:0375 D:0000 DB:7E P:04 V:258 H:207
C607F7 $E0 $10 $00     CPX #$0010                      A:0000 X:0010 Y:0000 S:0375 D:0000 DB:7E P:04 V:258 H:210
C607FA $90 $94         BCC $C60790                     A:0000 X:0010 Y:0000 S:0375 D:0000 DB:7E P:07 V:258 H:215
C607FC $AD $A7 $99     LDA $99A7 [7E99A7] = $0000      A:0000 X:0010 Y:0000 S:0375 D:0000 DB:7E P:07 V:258 H:218
