01916F $20 $0B $FE     JSR $FE0B [01FE0B] = $8B        A:CDC8 X:0D20 Y:CDC8 S:1FCB D:0000 DB:01 P:nvMxdiZc V:198 H:304
01E91B $CA             DEX                             A:CD11 X:000B Y:9A26 S:1FC2 D:2100 DB:04 P:NvMxdizc V:199 H:243
01E91C $D0 $F7         BNE $01E915                     A:CD11 X:000A Y:9A26 S:1FC2 D:2100 DB:04 P:nvMxdizc V:199 H:246
01E915 $B9 $00 $00     LDA $0000,Y [049A26] = $20      A:CD11 X:000A Y:9A26 S:1FC2 D:2100 DB:04 P:nvMxdizc V:199 H:252
01E918 $C8             INY                             A:CD20 X:000A Y:9A26 S:1FC2 D:2100 DB:04 P:nvMxdizc V:199 H:261
01E919 $85 $80         STA $80 [002180] = $00          A:CD20 X:000A Y:9A27 S:1FC2 D:2100 DB:04 P:NvMxdizc V:199 H:265
01E91B $CA             DEX                             A:CD20 X:000A Y:9A27 S:1FC2 D:2100 DB:04 P:NvMxdizc V:199 H:270
01E91C $D0 $F7         BNE $01E915                     A:CD20 X:0009 Y:9A27 S:1FC2 D:2100 DB:04 P:nvMxdizc V:199 H:274
01E915 $B9 $00 $00     LDA $0000,Y [049A27] = $00      A:CD20 X:0009 Y:9A27 S:1FC2 D:2100 DB:04 P:nvMxdizc V:199 H:291
01E918 $C8             INY                             A:CD00 X:0009 Y:9A27 S:1FC2 D:2100 DB:04 P:nvMxdiZc V:199 H:301
01E919 $85 $80         STA $80 [002180] = $00          A:CD00 X:0009 Y:9A28 S:1FC2 D:2100 DB:04 P:NvMxdizc V:199 H:304
01E91B $CA             DEX                             A:CD00 X:0009 Y:9A28 S:1FC2 D:2100 DB:04 P:NvMxdizc V:199 H:310
01E91C $D0 $F7         BNE $01E915                     A:CD00 X:0008 Y:9A28 S:1FC2 D:2100 DB:04 P:nvMxdizc V:199 H:313
01E915 $B9 $00 $00     LDA $0000,Y [049A28] = $13      A:CD00 X:0008 Y:9A28 S:1FC2 D:2100 DB:04 P:nvMxdizc V:199 H:319
01E918 $C8             INY                             A:CD13 X:0008 Y:9A28 S:1FC2 D:2100 DB:04 P:nvMxdizc V:199 H:327
01E919 $85 $80         STA $80 [002180] = $00          A:CD13 X:0008 Y:9A29 S:1FC2 D:2100 DB:04 P:NvMxdizc V:199 H:331
01E91B $CA             DEX                             A:CD13 X:0008 Y:9A29 S:1FC2 D:2100 DB:04 P:NvMxdizc V:199 H:336
01E91C $D0 $F7         BNE $01E915                     A:CD13 X:0007 Y:9A29 S:1FC2 D:2100 DB:04 P:nvMxdizc V:200 H:0  
01E915 $B9 $00 $00     LDA $0000,Y [049A29] = $00      A:CD13 X:0007 Y:9A29 S:1FC2 D:2100 DB:04 P:nvMxdizc V:200 H:5  
01E918 $C8             INY                             A:CD00 X:0007 Y:9A29 S:1FC2 D:2100 DB:04 P:nvMxdiZc V:200 H:15 
01E919 $85 $80         STA $80 [002180] = $00          A:CD00 X:0007 Y:9A2A S:1FC2 D:2100 DB:04 P:NvMxdizc V:200 H:18 
01E91B $CA             DEX                             A:CD00 X:0007 Y:9A2A S:1FC2 D:2100 DB:04 P:NvMxdizc V:200 H:24 
01E91C $D0 $F7         BNE $01E915                     A:CD00 X:0006 Y:9A2A S:1FC2 D:2100 DB:04 P:nvMxdizc V:200 H:27 
01E915 $B9 $00 $00     LDA $0000,Y [049A2A] = $16      A:CD00 X:0006 Y:9A2A S:1FC2 D:2100 DB:04 P:nvMxdizc V:200 H:33 
01E918 $C8             INY                             A:CD16 X:0006 Y:9A2A S:1FC2 D:2100 DB:04 P:nvMxdizc V:200 H:42 
01E919 $85 $80         STA $80 [002180] = $00          A:CD16 X:0006 Y:9A2B S:1FC2 D:2100 DB:04 P:NvMxdizc V:200 H:46 
01E91B $CA             DEX                             A:CD16 X:0006 Y:9A2B S:1FC2 D:2100 DB:04 P:NvMxdizc V:200 H:51 
01E91C $D0 $F7         BNE $01E915                     A:CD16 X:0005 Y:9A2B S:1FC2 D:2100 DB:04 P:nvMxdizc V:200 H:55 
01E915 $B9 $00 $00     LDA $0000,Y [049A2B] = $01      A:CD16 X:0005 Y:9A2B S:1FC2 D:2100 DB:04 P:nvMxdizc V:200 H:60 
01E918 $C8             INY                             A:CD01 X:0005 Y:9A2B S:1FC2 D:2100 DB:04 P:nvMxdizc V:200 H:70 
01E919 $85 $80         STA $80 [002180] = $00          A:CD01 X:0005 Y:9A2C S:1FC2 D:2100 DB:04 P:NvMxdizc V:200 H:73 
01E91B $CA             DEX                             A:CD01 X:0005 Y:9A2C S:1FC2 D:2100 DB:04 P:NvMxdizc V:200 H:79 
01E91C $D0 $F7         BNE $01E915                     A:CD01 X:0004 Y:9A2C S:1FC2 D:2100 DB:04 P:nvMxdizc V:200 H:82 
01E915 $B9 $00 $00     LDA $0000,Y [049A2C] = $3A      A:CD01 X:0004 Y:9A2C S:1FC2 D:2100 DB:04 P:nvMxdizc V:200 H:88 
01E918 $C8             INY                             A:CD3A X:0004 Y:9A2C S:1FC2 D:2100 DB:04 P:nvMxdizc V:200 H:97 
01E919 $85 $80         STA $80 [002180] = $00          A:CD3A X:0004 Y:9A2D S:1FC2 D:2100 DB:04 P:NvMxdizc V:200 H:101
01E91B $CA             DEX                             A:CD3A X:0004 Y:9A2D S:1FC2 D:2100 DB:04 P:NvMxdizc V:200 H:106
